barra,year,month,month_label,voltage_kv,nodal_price_stress_score,system_adjusted_nodal_risk_score,monthly_nodal_stress_rank,due_diligence_tier,data_quality_score,low_information_flag,main_driver,mean_price,p95_price,volatility_metric,critical_window_hours,topology_evidence_grade
HUAYLLACHO 15,2023,1,2023-01,15.0,79.29,66.67,1.0,Priority A,1.0,False,Price level,0.1364,0.1806,0.0462,37.0,A
SAN ANTONIO 15,2023,1,2023-01,15.0,78.81,66.38,2.0,Priority B,1.0,False,Price level,0.1357,0.1797,0.046,37.0,A
SAN IGNACIO 15,2023,1,2023-01,15.0,78.81,66.38,2.0,Priority B,1.0,False,Price level,0.1357,0.1797,0.046,37.0,A
PLANTAETANOL 60,2023,1,2023-01,60.0,78.62,66.09,3.0,Priority A,1.0,False,Price level,0.1297,0.1699,0.0434,37.0,A
NCTUMBES60,2023,1,2023-01,60.0,77.32,65.9,4.0,Priority A,1.0,False,Price level,0.1297,0.1692,0.0434,37.0,A
ZORRITOS 220,2023,1,2023-01,220.0,76.2,65.7,5.0,Priority A,1.0,False,Price level,0.1295,0.1689,0.0433,37.0,A
TINTAYA EXISTENTE 138,2023,1,2023-01,138.0,75.62,65.51,6.0,Priority B,1.0,False,Price level,0.1306,0.1729,0.0442,37.0,A
TINTAYA NUEVA 220,2023,1,2023-01,220.0,75.08,65.31,7.0,Priority B,1.0,False,Price level,0.1301,0.1722,0.0441,37.0,A
MISAPUQUIO 33,2023,1,2023-01,33.0,74.91,64.92,9.0,Priority B,1.0,False,Stress premium,0.134,0.1773,0.0453,37.0,A
JULIACA10,2023,1,2023-01,10.0,74.44,64.72,10.0,Priority B,1.0,False,Price level,0.1292,0.1701,0.0436,37.0,A
GE1 33,2023,1,2023-01,33.0,71.88,63.73,15.0,Priority B,1.0,False,Price level,0.1282,0.1672,0.0429,37.0,A
PIURA OESTE 220,2023,1,2023-01,220.0,71.6,63.33,17.0,Priority B,1.0,False,Price level,0.1279,0.1668,0.0428,37.0,A
TALARA13.2,2023,1,2023-01,13.2,70.45,62.51,21.0,Priority B,1.0,False,Price level,0.1277,0.1666,0.0427,37.0,A
TALARA 220,2023,1,2023-01,220.0,69.72,62.1,23.0,Priority B,1.0,False,Price level,0.1277,0.1664,0.0427,37.0,A
GALLITO CIEGO 60,2023,1,2023-01,60.0,69.7,60.65,30.0,Priority B,1.0,False,Price level,0.1256,0.1642,0.0419,37.0,A
BELAUNDE 138,2023,1,2023-01,138.0,64.46,58.29,41.0,Priority B,1.0,False,Price level,0.1244,0.1626,0.0418,37.0,A
PARIAC 66,2023,1,2023-01,66.0,61.74,54.43,57.0,Priority B,1.0,False,Price level,0.1237,0.1608,0.0411,37.0,A
NCTUMBES60,2023,2,2023-02,60.0,86.95,57.74,1.0,Priority A,1.0,False,Price level,0.1362,0.1724,0.1098,33.5,A
ZORRITOS 220,2023,2,2023-02,220.0,86.6,57.57,2.0,Priority A,1.0,False,Price level,0.136,0.1721,0.1097,33.5,A
PLANTAETANOL 60,2023,2,2023-02,60.0,86.47,57.4,3.0,Priority A,1.0,False,Volatility,0.1346,0.1693,0.1096,33.5,A
GE1 33,2023,2,2023-02,33.0,85.59,57.24,4.0,Priority B,1.0,False,Price level,0.1348,0.17,0.1093,33.5,A
PIURA OESTE 220,2023,2,2023-02,220.0,85.62,57.07,5.0,Priority B,1.0,False,Price level,0.1342,0.1698,0.1092,33.5,A
TALARA13.2,2023,2,2023-02,13.2,84.68,56.9,6.0,Priority B,1.0,False,Price level,0.1343,0.1696,0.1091,33.5,A
GALLITO CIEGO 60,2023,2,2023-02,60.0,85.02,56.73,7.0,Priority B,1.0,False,Price level,0.132,0.1673,0.1072,33.5,A
TALARA 220,2023,2,2023-02,220.0,84.17,56.56,8.0,Priority B,1.0,False,Price level,0.1342,0.1695,0.1091,33.5,A
BELAUNDE 138,2023,2,2023-02,138.0,76.76,54.32,21.0,Priority B,1.0,False,Price level,0.1272,0.1653,0.0889,33.5,A
PARIAC 66,2023,2,2023-02,66.0,75.66,54.14,22.0,Priority B,1.0,False,Price level,0.1289,0.1644,0.0991,33.5,A
HUAYLLACHO 15,2023,2,2023-02,15.0,73.67,53.25,27.0,Priority A,1.0,False,Price level,0.1285,0.1746,0.0656,33.5,A
SAN ANTONIO 15,2023,2,2023-02,15.0,73.11,52.61,30.0,Priority B,1.0,False,Price level,0.1278,0.1737,0.0652,33.5,A
SAN IGNACIO 15,2023,2,2023-02,15.0,73.11,52.61,30.0,Priority B,1.0,False,Price level,0.1278,0.1737,0.0652,33.5,A
MISAPUQUIO 33,2023,2,2023-02,33.0,68.82,51.42,36.0,Priority B,1.0,False,Price level,0.1261,0.1713,0.0641,33.5,A
TINTAYA EXISTENTE 138,2023,2,2023-02,138.0,64.95,50.48,41.0,Priority B,1.0,False,Price level,0.123,0.1679,0.0625,33.5,A
TINTAYA NUEVA 220,2023,2,2023-02,220.0,63.81,49.52,46.0,Priority B,1.0,False,Price level,0.1225,0.1671,0.0622,33.5,A
JULIACA10,2023,2,2023-02,10.0,63.38,49.13,48.0,Priority B,1.0,False,Price level,0.122,0.1663,0.0619,33.5,A
NCTUMBES60,2023,3,2023-03,60.0,85.46,94.28,1.0,Priority A,1.0,False,Price level,0.1406,0.1766,0.1013,37.0,A
ZORRITOS 220,2023,3,2023-03,220.0,84.95,94.02,2.0,Priority A,1.0,False,Volatility,0.1404,0.1763,0.1012,37.0,A
GE1 33,2023,3,2023-03,33.0,83.11,93.75,3.0,Priority B,1.0,False,Price level,0.1392,0.1747,0.1005,37.0,A
TALARA13.2,2023,3,2023-03,13.2,81.97,93.48,4.0,Priority B,1.0,False,Price level,0.1386,0.1739,0.1001,37.0,A
PLANTAETANOL 60,2023,3,2023-03,60.0,81.26,93.22,5.0,Priority A,1.0,False,Price level,0.1387,0.1737,0.1003,37.0,A
TALARA 220,2023,3,2023-03,220.0,81.44,92.95,6.0,Priority B,1.0,False,Price level,0.1385,0.1738,0.1001,37.0,A
PIURA OESTE 220,2023,3,2023-03,220.0,80.19,92.68,7.0,Priority B,1.0,False,Volatility,0.1384,0.1733,0.1001,37.0,A
GALLITO CIEGO 60,2023,3,2023-03,60.0,77.38,92.14,9.0,Priority B,1.0,False,Volatility,0.1355,0.1708,0.098,37.0,A
PARIAC 66,2023,3,2023-03,66.0,77.6,91.87,10.0,Priority B,1.0,False,Volatility,0.1371,0.1729,0.0969,37.0,A
BELAUNDE 138,2023,3,2023-03,138.0,73.28,89.67,18.0,Priority B,1.0,False,Volatility,0.1346,0.1703,0.0967,37.0,A
HUAYLLACHO 15,2023,3,2023-03,15.0,73.92,87.98,24.0,Priority A,1.0,False,Price level,0.1451,0.1843,0.0843,37.0,A
SAN ANTONIO 15,2023,3,2023-03,15.0,73.14,86.98,27.0,Priority B,1.0,False,Price level,0.1443,0.1833,0.0838,37.0,A
SAN IGNACIO 15,2023,3,2023-03,15.0,73.14,86.98,27.0,Priority B,1.0,False,Price level,0.1443,0.1833,0.0838,37.0,A
MISAPUQUIO 33,2023,3,2023-03,33.0,70.99,83.91,37.0,Priority B,1.0,False,Price level,0.1424,0.1809,0.0824,37.0,A
TINTAYA EXISTENTE 138,2023,3,2023-03,138.0,64.12,76.44,61.0,Priority B,1.0,False,Price level,0.1391,0.1773,0.0803,37.0,A
TINTAYA NUEVA 220,2023,3,2023-03,220.0,63.26,76.11,62.0,Priority B,1.0,False,Price level,0.1386,0.1766,0.08,37.0,A
JULIACA10,2023,3,2023-03,10.0,59.37,72.41,73.0,Priority B,1.0,False,Price level,0.1377,0.1762,0.0794,37.0,A
HUAYLLACHO 15,2023,4,2023-04,15.0,84.76,91.29,1.0,Priority A,1.0,False,Volatility,0.1804,0.7299,0.1679,36.0,A
SAN ANTONIO 15,2023,4,2023-04,15.0,83.02,90.9,2.0,Priority B,1.0,False,Volatility,0.1794,0.7261,0.167,36.0,A
SAN IGNACIO 15,2023,4,2023-04,15.0,83.02,90.9,2.0,Priority B,1.0,False,Volatility,0.1794,0.7261,0.167,36.0,A
NCTUMBES60,2023,4,2023-04,60.0,81.35,90.5,3.0,Priority A,1.0,False,Price level,0.1728,0.6915,0.1606,36.0,A
ZORRITOS 220,2023,4,2023-04,220.0,80.54,90.24,4.0,Priority A,1.0,False,Volatility,0.1725,0.6903,0.1603,36.0,A
MISAPUQUIO 33,2023,4,2023-04,33.0,80.21,89.97,5.0,Priority B,1.0,False,Volatility,0.1772,0.7152,0.1648,36.0,A
TINTAYA EXISTENTE 138,2023,4,2023-04,138.0,82.74,89.71,6.0,Priority B,1.0,False,Volatility,0.1726,0.694,0.1601,36.0,A
GE1 33,2023,4,2023-04,33.0,78.28,89.44,7.0,Priority B,1.0,False,Volatility,0.1711,0.6844,0.1589,36.0,A
PLANTAETANOL 60,2023,4,2023-04,60.0,77.78,88.91,9.0,Priority A,1.0,False,Volatility,0.1703,0.6806,0.1581,36.0,A
TALARA13.2,2023,4,2023-04,13.2,75.75,88.64,10.0,Priority B,1.0,False,Volatility,0.1703,0.6813,0.1582,36.0,A
PIURA OESTE 220,2023,4,2023-04,220.0,76.06,88.37,11.0,Priority B,1.0,False,Volatility,0.17,0.6796,0.1579,36.0,A
TALARA 220,2023,4,2023-04,220.0,74.63,88.1,12.0,Priority B,1.0,False,Volatility,0.1702,0.6808,0.1581,36.0,A
TINTAYA NUEVA 220,2023,4,2023-04,220.0,78.88,87.83,13.0,Priority B,1.0,False,Price level,0.1719,0.6916,0.1596,36.0,A
JULIACA10,2023,4,2023-04,10.0,76.96,87.56,14.0,Priority B,1.0,False,Price level,0.1711,0.6905,0.159,36.0,A
BELAUNDE 138,2023,4,2023-04,138.0,69.64,84.52,25.0,Priority B,1.0,False,Volatility,0.165,0.6647,0.1557,36.0,A
PARIAC 66,2023,4,2023-04,66.0,69.48,83.38,29.0,Priority B,1.0,False,Price level,0.1671,0.6687,0.1557,36.0,A
GALLITO CIEGO 60,2023,4,2023-04,60.0,60.11,72.04,64.0,Priority B,1.0,False,Price level,0.1635,0.6471,0.151,36.0,A
HUAYLLACHO 15,2023,5,2023-05,15.0,85.7,98.6,1.0,Priority A,1.0,False,Volatility,0.2477,0.7323,0.2074,37.0,A
SAN ANTONIO 15,2023,5,2023-05,15.0,85.41,98.19,2.0,Priority B,1.0,False,Volatility,0.2464,0.7285,0.2063,37.0,A
SAN IGNACIO 15,2023,5,2023-05,15.0,85.41,98.19,2.0,Priority B,1.0,False,Volatility,0.2464,0.7285,0.2063,37.0,A
TINTAYA EXISTENTE 138,2023,5,2023-05,138.0,84.13,97.77,3.0,Priority B,1.0,False,Volatility,0.2378,0.7027,0.1993,37.0,A
MISAPUQUIO 33,2023,5,2023-05,33.0,83.56,97.49,4.0,Priority B,1.0,False,Volatility,0.2433,0.7183,0.2036,37.0,A
TINTAYA NUEVA 220,2023,5,2023-05,220.0,80.27,97.21,5.0,Priority B,1.0,False,Price level,0.237,0.7007,0.1986,37.0,A
JULIACA10,2023,5,2023-05,10.0,78.27,96.65,7.0,Priority B,1.0,False,Price level,0.2357,0.6967,0.1974,37.0,A
NCTUMBES60,2023,5,2023-05,60.0,78.91,96.37,8.0,Priority A,1.0,False,Price level,0.2319,0.7034,0.1971,37.0,A
ZORRITOS 220,2023,5,2023-05,220.0,78.23,95.81,10.0,Priority A,1.0,False,Price level,0.2315,0.7019,0.1967,37.0,A
GE1 33,2023,5,2023-05,33.0,74.05,92.64,21.0,Priority B,1.0,False,Price level,0.2294,0.6951,0.1949,37.0,A
PARIAC 66,2023,5,2023-05,66.0,71.92,92.05,23.0,Priority B,1.0,False,Price level,0.229,0.6894,0.1947,37.0,A
PLANTAETANOL 60,2023,5,2023-05,60.0,72.42,90.86,27.0,Priority A,1.0,False,Price level,0.2286,0.6921,0.194,37.0,A
TALARA13.2,2023,5,2023-05,13.2,71.39,90.26,29.0,Priority B,1.0,False,Price level,0.2282,0.6914,0.1939,37.0,A
PIURA OESTE 220,2023,5,2023-05,220.0,71.3,89.96,30.0,Priority B,1.0,False,Price level,0.2282,0.6907,0.1936,37.0,A
TALARA 220,2023,5,2023-05,220.0,70.95,89.66,31.0,Priority B,1.0,False,Price level,0.2281,0.691,0.1938,37.0,A
GALLITO CIEGO 60,2023,5,2023-05,60.0,71.01,88.44,35.0,Priority B,1.0,False,Price level,0.2236,0.6818,0.192,37.0,A
BELAUNDE 138,2023,5,2023-05,138.0,67.96,87.2,39.0,Priority B,1.0,False,Price level,0.2258,0.683,0.1917,37.0,A
HUAYLLACHO 15,2023,6,2023-06,15.0,85.69,79.93,1.0,Priority A,1.0,False,Volatility,0.3971,0.773,0.2631,36.0,A
SAN ANTONIO 15,2023,6,2023-06,15.0,85.09,79.59,2.0,Priority B,1.0,False,Volatility,0.3968,0.7725,0.2629,36.0,A
