sector,contract_type,barra,months_observed,avg_industrial_exposure_score,p90_industrial_exposure_score,max_industrial_exposure_score,priority_months,watchlist_months,low_info_months,spot_share,monthly_mwh,dominant_driver,watchlist_share,profile_priority_score,signal_stability_label_es
agroindustry_seasonal,balanced_30pct_spot_ppa,PLANTAETANOL 60,36,59.1,68.86,70.87,0,9,0,0.3,6000,Nivel de precio,0.25,58.19,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,HUAYLLACHO 15,36,58.97,69.52,72.3,0,11,0,0.3,6000,Nivel de precio,0.306,59.35,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,SAN IGNACIO 15,36,58.75,69.06,71.88,0,10,0,0.3,6000,Nivel de precio,0.278,58.65,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,SAN ANTONIO 15,36,58.73,69.06,71.88,0,10,0,0.3,6000,Nivel de precio,0.278,58.64,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,ZORRITOS 220,36,58.53,68.72,70.32,0,10,0,0.3,6000,Nivel de precio,0.278,58.24,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,NCTUMBES60,36,58.36,68.93,69.84,0,10,0,0.3,6000,Nivel de precio,0.278,58.14,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,MISAPUQUIO 33,36,57.59,68.15,71.27,0,7,0,0.3,6000,Nivel de precio,0.194,56.56,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,GE1 33,36,57.43,67.13,70.11,0,8,0,0.3,6000,Nivel de precio,0.222,56.47,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,TINTAYA EXISTENTE 138,36,57.21,67.79,70.75,0,8,0,0.3,6000,Nivel de precio,0.222,56.64,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,PIURA OESTE 220,36,56.94,66.25,69.54,0,6,0,0.3,6000,Nivel de precio,0.167,55.11,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,TALARA 220,36,56.93,65.87,69.79,0,8,0,0.3,6000,Nivel de precio,0.222,55.89,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,TINTAYA NUEVA 220,36,56.84,67.22,70.3,0,8,0,0.3,6000,Nivel de precio,0.222,56.26,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,TALARA13.2,36,56.62,66.1,70.04,0,8,0,0.3,6000,Nivel de precio,0.222,55.85,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,GALLITO CIEGO 60,36,56.36,65.32,68.15,0,4,0,0.3,6000,Nivel de precio,0.111,53.58,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,BELAUNDE 138,36,56.27,65.21,68.9,0,5,0,0.3,6000,Nivel de precio,0.139,54.04,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,VALLE DEL CHIRA 220,14,54.94,65.04,68.15,0,2,0,0.3,6000,Nivel de precio,0.143,53.35,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,PARIAC 66,36,53.72,63.7,68.1,0,1,0,0.3,6000,Nivel de precio,0.028,50.73,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,JULIACA10,36,52.19,62.75,65.66,0,2,0,0.3,6000,Nivel de precio,0.056,49.86,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,JAEN 138,24,51.5,61.89,66.12,0,1,0,0.3,6000,Nivel de precio,0.042,49.19,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,TOCACHE 138,36,48.73,57.95,63.36,0,0,0,0.3,6000,Nivel de precio,0.0,45.92,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,JULIACA 138,36,47.59,58.07,61.1,0,0,0,0.3,6000,Nivel de precio,0.0,45.1,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,CALLALLI 138,36,47.21,57.96,61.33,0,0,0,0.3,6000,Nivel de precio,0.0,44.93,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,PLANTA CASA GRANDE 13.8,1,47.19,47.19,47.19,0,0,0,0.3,6000,Nivel de precio,0.0,40.11,Sensible
agroindustry_seasonal,balanced_30pct_spot_ppa,GUADALUPE 60,36,47.15,56.09,57.91,0,0,0,0.3,6000,Nivel de precio,0.0,43.93,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,LA BREA 220,21,46.59,57.39,61.98,0,0,0,0.3,6000,Nivel de precio,0.0,44.61,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,ILO1 138,36,45.64,54.43,58.5,0,0,0,0.3,6000,Nivel de precio,0.0,42.92,Estable
